name,FREQUENCY_MHZ,CLOCK_CYCLES_1ST,CLOCK_CYCLES_NEXT,DSP,LUT,FF,TIME_1ST_US,TIME_NEXT_US,THROUGHPUT,DSP_AT,LUT_AT,FF_AT
145CA0L0AB1M1C0E,600.0,86,22,9,843,1789,0.143333333333333,0.0366666666666667,27.2727272727273,1.29,120.83,256.423333333333
145CA0L0AB0M0C1E,433.333333,68,20,9,676,1014,0.156923077043787,0.0461538461893491,21.66666665,1.41230769339408,106.0800000816,159.1200001224
145CA0L0AB0M1C1E,600.0,77,21,9,978,1762,0.128333333333333,0.035,28.5714285714286,1.155,125.51,226.123333333333
145CA0L0AB1M0C1E,625.0,77,21,9,980,1918,0.1232,0.0336,29.7619047619048,1.1088,120.736,236.2976
145CA0L0AB1M1C1E,738.0,94,22,9,840,1733,0.127371273712737,0.029810298102981,33.5454545454545,1.14634146341463,106.991869918699,220.734417344173
145CA1L0AB0M0C1E,433.333333,60,20,9,760,1093,0.138461538568047,0.0461538461893491,21.66666665,1.24615384711243,105.230769311716,151.338461654876
145CA1L0AB0M1C1E,600.0,69,21,9,846,1559,0.115,0.035,28.5714285714286,1.035,97.29,179.285
145CA1L0AB1M0C1E,625.0,69,21,9,845,1737,0.1104,0.0336,29.7619047619048,0.9936,93.288,191.7648
145CA1L0AB1M1C1E,738.0,86,22,9,924,2237,0.116531165311653,0.029810298102981,33.5454545454545,1.04878048780488,107.674796747967,260.680216802168
145CA0L0AB0M0C0F,425.0,60,60,5,425,823,0.141176470588235,0.141176470588235,7.08333333333333,0.705882352941176,60.0,116.188235294118
145CA0L0AB0M1C0F,574.0,69,69,4,354,764,0.120209059233449,0.120209059233449,8.31884057971014,0.480836236933798,42.5540069686411,91.8397212543554
145CA0L0AB1M0C0F,625.0,69,69,4,371,734,0.1104,0.1104,9.05797101449275,0.4416,40.9584,81.0336
145CA0L0AB1M1C0F,576.0,86,86,3,339,559,0.149305555555556,0.149305555555556,6.69767441860465,0.447916666666667,50.6145833333333,83.4618055555556
145CA0L0AB0M0C1F,433.333333,68,68,4,347,510,0.156923077043787,0.156923077043787,6.37254901470588,0.627692308175148,54.4523077341941,80.0307692923314
145CA0L0AB0M1C1F,612.0,77,77,4,481,824,0.125816993464052,0.125816993464052,7.94805194805195,0.503267973856209,60.5179738562091,103.673202614379
145CA0L0AB1M0C1F,625.0,77,77,4,482,886,0.1232,0.1232,8.11688311688312,0.4928,59.3824,109.1552
145CA0L0AB1M1C1F,738.0,94,94,3,337,677,0.127371273712737,0.127371273712737,7.85106382978723,0.382113821138211,42.9241192411924,86.230352303523
145CA1L0AB0M0C1F,450.0,61,61,5,458,679,0.135555555555556,0.135555555555556,7.37704918032787,0.677777777777778,62.0844444444445,92.0422222222222
