name,success,CLOCK_CYCLES_1ST
264CA0L0AB0M1C1F,SUCCESS,140
264CA0L0AB1M0C1F,SUCCESS,140
264CA0L0AB1M1C1F,SUCCESS,171
264CA1L0AB0M0C1F,SUCCESS,111
264CA1L0AB0M1C1F,SUCCESS,127
264CA1L0AB1M0C1F,SUCCESS,127
264CA1L0AB1M1C1F,SUCCESS,159
281CA0L0AB0M0C0E,SUCCESS,116
281CA0L0AB0M1C0E,SUCCESS,133
281CA0L0AB1M0C0E,SUCCESS,133
281CA0L0AB1M1C0E,SUCCESS,166
281CA0L0AB0M0C1E,SUCCESS,132
281CA0L0AB0M1C1E,SUCCESS,149
281CA0L0AB1M0C1E,SUCCESS,149
281CA0L0AB1M1C1E,SUCCESS,182
281CA1L0AB0M0C1E,SUCCESS,116
281CA1L0AB0M1C1E,SUCCESS,133
281CA1L0AB1M0C1E,SUCCESS,133
281CA1L0AB1M1C1E,SUCCESS,166
281CA0L0AB0M0C0F,SUCCESS,116
281CA0L0AB0M1C0F,SUCCESS,133
281CA0L0AB1M0C0F,SUCCESS,133
281CA0L0AB1M1C0F,SUCCESS,166
281CA0L0AB0M0C1F,SUCCESS,132
281CA0L0AB0M1C1F,SUCCESS,149
281CA0L0AB1M0C1F,SUCCESS,149
281CA0L0AB1M1C1F,SUCCESS,182
281CA1L0AB0M0C1F,SUCCESS,118
281CA1L0AB0M1C1F,SUCCESS,135
281CA1L0AB1M0C1F,SUCCESS,135
281CA1L0AB1M1C1F,SUCCESS,169
298CA0L0AB0M0C0E,SUCCESS,123
298CA0L0AB0M1C0E,SUCCESS,141
298CA0L0AB1M0C0E,SUCCESS,141
298CA0L0AB1M1C0E,SUCCESS,176
298CA0L0AB0M0C1E,SUCCESS,140
298CA0L0AB0M1C1E,SUCCESS,158
298CA0L0AB1M0C1E,SUCCESS,158
298CA0L0AB1M1C1E,SUCCESS,193
298CA1L0AB0M0C1E,SUCCESS,123
298CA1L0AB0M1C1E,SUCCESS,141
298CA1L0AB1M0C1E,SUCCESS,141
298CA1L0AB1M1C1E,SUCCESS,176
298CA0L0AB0M0C0F,SUCCESS,123
298CA0L0AB0M1C0F,SUCCESS,141
298CA0L0AB1M0C0F,SUCCESS,141
298CA0L0AB1M1C0F,SUCCESS,176
298CA0L0AB0M0C1F,SUCCESS,140
298CA0L0AB0M1C1F,SUCCESS,158
298CA0L0AB1M0C1F,SUCCESS,158
298CA0L0AB1M1C1F,SUCCESS,193
298CA1L0AB0M0C1F,SUCCESS,125
298CA1L0AB0M1C1F,SUCCESS,143
298CA1L0AB1M0C1F,SUCCESS,143
298CA1L0AB1M1C1F,SUCCESS,178
315CA0L0AB0M0C0E,SUCCESS,130
315CA0L0AB0M1C0E,SUCCESS,149
315CA0L0AB1M0C0E,SUCCESS,149
315CA0L0AB1M1C0E,SUCCESS,186
315CA0L0AB0M0C1E,SUCCESS,148
315CA0L0AB0M1C1E,SUCCESS,167
315CA0L0AB1M0C1E,SUCCESS,167
315CA0L0AB1M1C1E,SUCCESS,204
315CA1L0AB0M0C1E,SUCCESS,130
315CA1L0AB0M1C1E,SUCCESS,149
315CA1L0AB1M0C1E,SUCCESS,149
315CA1L0AB1M1C1E,SUCCESS,186
315CA0L0AB0M0C0F,SUCCESS,130
315CA0L0AB0M1C0F,SUCCESS,149
315CA0L0AB1M0C0F,SUCCESS,149
315CA0L0AB1M1C0F,SUCCESS,186
315CA0L0AB0M0C1F,SUCCESS,148
315CA0L0AB0M1C1F,SUCCESS,167
315CA0L0AB1M0C1F,SUCCESS,167
315CA0L0AB1M1C1F,SUCCESS,204
315CA1L0AB0M0C1F,SUCCESS,132
315CA1L0AB0M1C1F,SUCCESS,151
315CA1L0AB1M0C1F,SUCCESS,151
315CA1L0AB1M1C1F,SUCCESS,189
332CA0L0AB0M0C0E,SUCCESS,137
332CA0L0AB0M1C0E,SUCCESS,157
332CA0L0AB1M0C0E,SUCCESS,157
332CA0L0AB1M1C0E,SUCCESS,196
332CA0L0AB0M0C1E,SUCCESS,156
332CA0L0AB0M1C1E,SUCCESS,176
332CA0L0AB1M0C1E,SUCCESS,176
332CA0L0AB1M1C1E,SUCCESS,215
332CA1L0AB0M0C1E,SUCCESS,137
332CA1L0AB0M1C1E,SUCCESS,157
332CA1L0AB1M0C1E,SUCCESS,157
332CA1L0AB1M1C1E,SUCCESS,196
332CA0L0AB0M0C0F,SUCCESS,137
332CA0L0AB0M1C0F,SUCCESS,157
332CA0L0AB1M0C0F,SUCCESS,157
332CA0L0AB1M1C0F,SUCCESS,196
332CA0L0AB0M0C1F,SUCCESS,156
332CA0L0AB0M1C1F,SUCCESS,176
332CA0L0AB1M0C1F,SUCCESS,176
332CA0L0AB1M1C1F,SUCCESS,215
332CA1L0AB0M0C1F,SUCCESS,139
332CA1L0AB0M1C1F,SUCCESS,159
332CA1L0AB1M0C1F,SUCCESS,159
332CA1L0AB1M1C1F,SUCCESS,199
349CA0L0AB0M0C0E,SUCCESS,144
349CA0L0AB0M1C0E,SUCCESS,165
349CA0L0AB1M0C0E,SUCCESS,165
349CA0L0AB1M1C0E,SUCCESS,206
349CA0L0AB0M0C1E,SUCCESS,164
349CA0L0AB0M1C1E,SUCCESS,185
349CA0L0AB1M0C1E,SUCCESS,185
349CA0L0AB1M1C1E,SUCCESS,226
349CA1L0AB0M0C1E,SUCCESS,144
349CA1L0AB0M1C1E,SUCCESS,165
349CA1L0AB1M0C1E,SUCCESS,165
349CA1L0AB1M1C1E,SUCCESS,206
349CA0L0AB0M0C0F,SUCCESS,144
349CA0L0AB0M1C0F,SUCCESS,165
349CA0L0AB1M0C0F,SUCCESS,165
349CA0L0AB1M1C0F,SUCCESS,206
349CA0L0AB0M0C1F,SUCCESS,164
349CA0L0AB0M1C1F,SUCCESS,185
349CA0L0AB1M0C1F,SUCCESS,185
349CA0L0AB1M1C1F,SUCCESS,226
349CA1L0AB0M0C1F,SUCCESS,146
349CA1L0AB0M1C1F,SUCCESS,167
349CA1L0AB1M0C1F,SUCCESS,167
349CA1L0AB1M1C1F,SUCCESS,209
366CA0L0AB0M0C0E,SUCCESS,151
366CA0L0AB0M1C0E,SUCCESS,173
366CA0L0AB1M0C0E,SUCCESS,173
